parameter,description
mode_req_home_position,uint32 
mode_req_angular_velocity,uint32 
local_velocity_invalid,bool # Local velocity estimate invalid
angular_velocity_invalid,bool # Angular velocity invalid
mode_req_offboard_signal,uint32 
manual_control_signal_lost,bool # Manual control (RC) signal lost
battery_warning,uint8 # Battery warning level
mode_req_manual_control,uint32 
mode_req_local_position,uint32 
wind_limit_exceeded,bool # Wind limit exceeded
fd_critical_failure,bool # Critical failure (attitude/altitude limit exceeded; or external ATS)
fd_esc_arming_failure,bool # ESC failed to arm
global_position_invalid,bool # Global position estimate invalid
local_position_invalid_relaxed,bool # Local position with reduced accuracy requirements invalid (e.g. flying with optical flow)
mode_req_attitude,uint32 
battery_low_remaining_time,bool # Low battery based on remaining flight time
mode_req_prevent_arming,uint32 # if set; cannot arm while in this mode
mode_req_global_position,uint32 
primary_geofence_breached,bool # Primary Geofence breached
mode_req_other,uint32 # other requirements; not covered above (for external modes)
fd_motor_failure,bool # Motor failure
mode_req_wind_and_flight_time_compliance,uint32 # if set; mode cannot be entered if wind or flight time limit exceeded
local_altitude_invalid,bool # Local altitude invalid
mode_req_local_alt,uint32 
flight_time_limit_exceeded,bool # Maximum flight time exceeded
auto_mission_missing,bool # No mission available
local_position_invalid,bool # Local position estimate invalid
in_emergency_ascent,bool # [bool] True when doing emergency ascent (when distance to ground is below safety altitude)
follow_angle,float32 # [rad] Current follow angle setting
tracked_target_course,float32 # [rad] Tracked target course in NED local frame (North is course zero)
orbit_angle_setpoint,float32 # [rad] Current orbit angle setpoint from the smooth trajectory generator
desired_position_raw,float32[3] # [m] Raw 'idealistic' desired drone position if a drone could teleport from place to places
angular_rate_setpoint,float32 # [rad/s] Angular rate commanded from Jerk-limited Orbit Angle trajectory for Orbit Angle
gimbal_pitch,float32 # [rad] Gimbal pitch commanded to track target in the center of the frame
pitch_sp_rad,float32 # Current pitch setpoint [rad]
TECS_MODE_NORMAL,uint8 = 0
height_rate_reference,float32 # Height rate setpoint reference [m/s]
true_airspeed_derivative,float32 # True airspeed derivative [m/s^2]
total_energy_balance_rate,float32 # Energy balance rate estimate [m^2/s^3]
true_airspeed_derivative_sp,float32 # True airspeed derivative setpoint [m/s^2]
TECS_MODE_UNDERSPEED,uint8 = 1
true_airspeed_filtered,float32 # True airspeed filtered [m/s]
height_rate_direct,float32 # Direct height rate setpoint from velocity reference generator [m/s]
altitude_reference,float32 # Altitude setpoint reference AMSL [m]
equivalent_airspeed_sp,float32 # Equivalent airspeed setpoint [m/s]
pitch_integ,float32 # Pitch integrator value [rad]
total_energy_balance_rate_sp,float32 # Energy balance rate setpoint [m^2/s^3]
total_energy_rate,float32 # Total energy rate estimate [m^2/s^3]
true_airspeed_derivative_raw,float32 # True airspeed derivative raw [m/s^2]
throttle_sp,float32 # Current throttle setpoint [-]
total_energy_rate_sp,float32 # Total energy rate setpoint [m^2/s^3]
throttle_integ,float32 # Throttle integrator value [-]
height_rate_setpoint,float32 # Height rate setpoint [m/s]
true_airspeed_sp,float32 # True airspeed setpoint [m/s]
throttle_trim,float32 # estimated throttle value [0;1] required to fly level at equivalent_airspeed_sp in the current atmospheric conditions
height_rate,float32 # Height rate [m/s]
altitude_sp,float32 # Altitude setpoint AMSL [m]
innov_x,float32 
innov_cov_x,float32 
innov_cov_y,float32 
innov_y,float32 
param_count,uint16 # number of parameters exposed by the node
CELLULAR_STATUS_FLAG_UNKNOWN=0,uint8 # State unknown or not reportable
CELLULAR_STATUS_FLAG_SEARCHING=8,uint8 # Modem is searching for a network provider to register
CELLULAR_STATUS_FLAG_DISABLING=5,uint8 # Modem is currently transitioning to the CELLULAR_STATUS_FLAG_DISABLED state
lac,uint16 # Location area code. If unknown; set to: 0
CELLULAR_STATUS_FLAG_ENABLED=7,uint8 # Modem is enabled and powered on but not registered with a network provider and not available for data connections
mnc,uint16 # Mobile network code. If unknown; set to: UINT16_MAX
CELLULAR_STATUS_FLAG_FAILED=1,uint8 # velocity setpoint
mcc,uint16 # Mobile country code. If unknown; set to: UINT16_MAX
CELLULAR_STATUS_FLAG_CONNECTING=11,uint8 # Modem is activating and connecting the first packet data bearer. Subsequent bearer activations when another bearer is already active do not cause this state to be entered
CELLULAR_STATUS_FLAG_INITIALIZING=2,uint8 # Modem is being initialized
CELLULAR_STATUS_FLAG_CONNECTED=12,uint8 # One or more packet data bearers is active and connected
CELLULAR_NETWORK_FAILED_REASON_SIM_MISSING=2,uint8 # SIM is required for the modem but missing
CELLULAR_STATUS_FLAG_ENABLING=6,uint8 # Modem is currently transitioning to the CELLULAR_STATUS_FLAG_ENABLED state
CELLULAR_NETWORK_FAILED_REASON_UNKNOWN=1,uint8 # Error state is unknown
failure_reason,uint8 #Failure reason when status in in CELLUAR_STATUS_FAILED
CELLULAR_STATUS_FLAG_DISCONNECTING=10,uint8 # Modem is disconnecting and deactivating the last active packet data bearer. This state will not be entered if more than one packet data bearer is active and one of the active bearers is deactivated
CELLULAR_NETWORK_FAILED_REASON_SIM_ERROR=3,uint8 # SIM is available; but not usable for connection
CELLULAR_STATUS_FLAG_LOCKED=3,uint8 # Modem is locked
CELLULAR_STATUS_FLAG_DISABLED=4,uint8 # Modem is not enabled and is powered down
CELLULAR_NETWORK_FAILED_REASON_NONE=0,uint8 # No error
CELLULAR_STATUS_FLAG_REGISTERED=9,uint8 # Modem is registered with a network provider; and data connections and messaging may be available for use
accelerometer_m_s2,float32[3] # average value acceleration measured in the FRD body frame XYZ-axis in m/s^2 over the last accelerometer sampling period
gyro_integral_dt,uint32 # gyro measurement sampling period in microseconds
accelerometer_integral_dt,uint32 # accelerometer measurement sampling period in microseconds
accelerometer_clipping,uint8 # bitfield indicating if there was any accelerometer clipping (per axis) during the integration time frame
accelerometer_timestamp_relative,int32 # timestamp + accelerometer_timestamp_relative = Accelerometer timestamp
CLIPPING_Z,uint8 = 4
CLIPPING_X,uint8 = 1
accel_calibration_count,uint8 # Calibration changed counter. Monotonically increases whenever accelermeter calibration changes.
gyro_calibration_count,uint8 # Calibration changed counter. Monotonically increases whenever rate gyro calibration changes.
gyro_clipping,uint8 # bitfield indicating if there was any gyro clipping (per axis) during the integration time frame
gyro_rad,float32[3] # average angular rate measured in the FRD body frame XYZ-axis in rad/s over the last gyro sampling period
CLIPPING_Y,uint8 = 2
fixed_wing_system_failure,bool # vehicle in fixed-wing system failure failsafe mode (after quad-chute)
VEHICLE_VTOL_STATE_FW,uint8 = 4
VEHICLE_VTOL_STATE_TRANSITION_TO_FW,uint8 = 1
VEHICLE_VTOL_STATE_UNDEFINED,uint8 = 0
vehicle_vtol_state,uint8 # current state of the vtol; see VEHICLE_VTOL_STATE
VEHICLE_VTOL_STATE_MC,uint8 = 3
VEHICLE_VTOL_STATE_TRANSITION_TO_MC,uint8 = 2
check_fail_max_vert_drift,bool # 7 : maximum allowed vertical position drift fail - requires stationary vehicle
check_fail_max_spd_err,bool # 5 : maximum allowed speed error fail
check_fail_max_vert_err,bool # 4 : maximum allowed vertical position error fail
position_drift_rate_vertical_m_s,float32 # Vertical position rate magnitude (m/s)
filtered_horizontal_speed_m_s,float32 # Filtered horizontal velocity magnitude (m/s)
check_fail_max_horz_err,bool # 3 : maximum allowed horizontal position error fail
check_fail_min_sat_count,bool # 1 : minimum required sat count fail
check_fail_max_horz_drift,bool # 6 : maximum allowed horizontal position drift fail - requires stationary vehicle
check_fail_max_pdop,bool # 2 : maximum allowed PDOP fail
check_fail_max_horz_spd_err,bool # 8 : maximum allowed horizontal speed fail - requires stationary vehicle
position_drift_rate_horizontal_m_s,float32 # Horizontal position rate magnitude (m/s)
check_fail_gps_fix,bool # 0 : insufficient fix type (no 3D solution)
check_fail_max_vert_spd_err,bool # 9 : maximum allowed vertical velocity discrepancy fail
checks_passed,bool 
name,char[10] # name of the debug array (max. 10 characters)
ARRAY_SIZE,uint8 = 58
ACTION_RELEASE_CONTROL,uint8 = 0 # exit test mode for the given function
FUNCTION_MOTOR1,uint8 = 101
MAX_NUM_SERVOS,uint8 = 8
timeout_ms,uint32 # timeout in ms after which to exit test mode (if 0; do not time out)
FUNCTION_SERVO1,uint8 = 201
MAX_NUM_MOTORS,uint8 = 12
ACTION_DO_CONTROL,uint8 = 1 # enable actuator test mode
STATUS_FLAG_ELECTRONICS_OVERTEMP_WARNING,uint64 = 256 # Power electronics are near the maximum operating temperature; cooling is insufficient.
STATUS_FLAG_ELECTRONICS_OVERTEMP_FAULT,uint64 = 512 # Power electronics hit the maximum operating temperature and shutdown.
STATUS_FLAG_OVERTEMP_FAULT,uint64 = 128 # Generator hit the maximum operating temperature and shutdown.
STATUS_FLAG_WARMING_UP,uint64 = 2097152 # Generator is not ready to generate yet.
power_generated,float32 # [W] The power being generated. NaN: field not provided
time_until_maintenance,int32 # [s] Seconds until this generator requires maintenance. A negative value indicates maintenance is past-due. INT32_MAX: field not provided.
STATUS_FLAG_CHARGING,uint64 = 8 # Generator is charging the batteries (generating enough power to charge and provide the load).
bat_current_setpoint,float32 # [A] The target battery current. Positive for out. Negative for in. NaN: field not provided
STATUS_FLAG_BATTERY_UNDERVOLT_FAULT,uint64 = 262144 # Batteries are under voltage (generator will not start).
battery_current,float32 # [A] Current into/out of battery. Positive for out. Negative for in. NaN: field not provided.
STATUS_FLAG_OVERCURRENT_FAULT,uint64 = 32768 # Generator controller exceeded the overcurrent threshold and shutdown to prevent damage.
STATUS_FLAG_MAXPOWER,uint64 = 32 # Generator is providing the maximum output.
STATUS_FLAG_OFF,uint64 = 1 # Generator is off.
STATUS_FLAG_OVERTEMP_WARNING,uint64 = 64 # Generator is near the maximum operating temperature; cooling is insufficient.
rectifier_temperature,int16 # [degC] The temperature of the rectifier or power converter. INT16_MAX: field not provided.
STATUS_FLAG_ELECTRONICS_FAULT,uint64 = 1024 # Power electronics experienced a fault and shutdown.
load_current,float32 # [A] Current going to the UAV. If battery current not available this is the DC current from the generator. Positive for out. Negative for in. NaN: field not provided
bus_voltage,float32 # [V] Voltage of the bus seen at the generator; or battery bus if battery bus is controlled by generator and at a different voltage to main bus.
STATUS_FLAG_MAINTENANCE_REQUIRED,uint64 = 1048576 # Generator requires maintenance.
STATUS_FLAG_BATTERY_OVERCHARGE_CURRENT_FAULT,uint64 = 65536 # Generator controller detected a high current going into the batteries and shutdown to prevent battery damage. |
STATUS_FLAG_READY,uint64 = 2 # Generator is ready to start generating power.
runtime,uint32 # [s] Seconds this generator has run since it was rebooted. UINT32_MAX: field not provided.
STATUS_FLAG_COOLING_WARNING,uint64 = 8192 # Power electronic or generator cooling system error.
generator_speed,uint16 # [rpm] Speed of electrical generator or alternator. UINT16_MAX: field not provided.
STATUS_FLAG_IDLE,uint64 = 4194304 # Generator is idle.
STATUS_FLAG_REDUCED_POWER,uint64 = 16 # Generator is operating at a reduced maximum power.
STATUS_FLAG_GENERATING,uint64 = 4 # Generator is generating power.
STATUS_FLAG_POWERSOURCE_FAULT,uint64 = 2048 # The power source supplying the generator failed e.g. mechanical generator stopped; tether is no longer providing power; solar cell is in shade; hydrogen reaction no longer happening.
STATUS_FLAG_START_INHIBITED,uint64 = 524288 # Generator start is inhibited by e.g. a safety switch.
STATUS_FLAG_OVERVOLTAGE_FAULT,uint64 = 131072 # Generator controller exceeded it's overvoltage threshold and shutdown to prevent it exceeding the voltage rating.
STATUS_FLAG_COMMUNICATION_WARNING,uint64 = 4096 # Generator controller having communication problems.
generator_temperature,int16 # [degC] The temperature of the mechanical motor; fuel cell core or generator. INT16_MAX: field not provided.
STATUS_FLAG_POWER_RAIL_FAULT,uint64 = 16384 # Generator controller power rail experienced a fault.
adapted_setpoint,float32[2] # velocities allowed
original_setpoint,float32[2] # velocities demanded
accel_clipping,uint32[3] # total clipping per axis
gyro_error_count,uint32 
var_gyro,float32[3] # gyroscope variance since last publication
temperature_accel,float32 
gyro_rate_hz,float32 
mean_accel,float32[3] # average accelerometer readings since last publication
mean_gyro,float32[3] # average gyroscope readings since last publication
var_accel,float32[3] # accelerometer variance since last publication
accel_vibration_metric,float32 # high frequency vibration level in the accelerometer data (m/s/s)
temperature_gyro,float32 
accel_error_count,uint32 
gyro_raw_rate_hz,float32 # full raw sensor sample rate (Hz)
gyro_vibration_metric,float32 # high frequency vibration level in the gyro data (rad/s)
accel_raw_rate_hz,float32 # full raw sensor sample rate (Hz)
delta_angle_coning_metric,float32 # average IMU delta angle coning correction (rad^2)
accel_rate_hz,float32 
GIMBAL_MANAGER_CAP_FLAGS_HAS_NEUTRAL,uint32 = 2
yaw_min,float32 # [rad]
cap_flags,uint32 
GIMBAL_MANAGER_CAP_FLAGS_HAS_PITCH_LOCK,uint32 = 128
roll_max,float32 # [rad]
GIMBAL_MANAGER_CAP_FLAGS_HAS_YAW_LOCK,uint32 = 1024
GIMBAL_MANAGER_CAP_FLAGS_HAS_PITCH_FOLLOW,uint32 = 64
GIMBAL_MANAGER_CAP_FLAGS_CAN_POINT_LOCATION_LOCAL,uint32 = 65536
roll_min,float32 # [rad]
GIMBAL_MANAGER_CAP_FLAGS_HAS_ROLL_AXIS,uint32 = 4
pitch_max,float32 # [rad]
yaw_max,float32 # [rad]
GIMBAL_MANAGER_CAP_FLAGS_HAS_ROLL_FOLLOW,uint32 = 8
GIMBAL_MANAGER_CAP_FLAGS_HAS_ROLL_LOCK,uint32 = 16
GIMBAL_MANAGER_CAP_FLAGS_CAN_POINT_LOCATION_GLOBAL,uint32 = 131072
GIMBAL_MANAGER_CAP_FLAGS_HAS_RETRACT,uint32 = 1
GIMBAL_MANAGER_CAP_FLAGS_SUPPORTS_INFINITE_YAW,uint32 = 2048
GIMBAL_MANAGER_CAP_FLAGS_HAS_YAW_AXIS,uint32 = 256
pitch_min,float32 # [rad]
GIMBAL_MANAGER_CAP_FLAGS_HAS_PITCH_AXIS,uint32 = 32
GIMBAL_MANAGER_CAP_FLAGS_HAS_YAW_FOLLOW,uint32 = 512
xtrack_error,float32 # Signed track error [m]
target_bearing,float32 # Bearing angle from aircraft to current target [rad]
altitude_acceptance,float32 # Current vertical acceptance error [m]
nav_pitch,float32 # Pitch setpoint [rad]
nav_bearing,float32 # Bearing angle[rad]
nav_roll,float32 # Roll setpoint [rad]
wp_dist,float32 # Distance to active (next) waypoint [m]
yaw_acceptance,float32 # Yaw acceptance error[rad]
key,char[10] # max. 10 characters as key / name
ram_usage,float32 # RAM usage from 0 to 1
load,float32 # processor load from 0 to 1
GIMBAL_DEVICE_CAP_FLAGS_HAS_ROLL_LOCK,uint32 = 16
hardware_version,uint32 
gimbal_device_compid,uint8 
GIMBAL_DEVICE_CAP_FLAGS_SUPPORTS_INFINITE_YAW,uint32 = 2048
model_name,uint8[32] 
GIMBAL_DEVICE_CAP_FLAGS_HAS_YAW_FOLLOW,uint32 = 512
custom_cap_flags,uint16 
GIMBAL_DEVICE_CAP_FLAGS_HAS_YAW_AXIS,uint32 = 256
GIMBAL_DEVICE_CAP_FLAGS_HAS_NEUTRAL,uint32 = 2
GIMBAL_DEVICE_CAP_FLAGS_HAS_PITCH_AXIS,uint32 = 32
firmware_version,uint32 
uid,uint64 
GIMBAL_DEVICE_CAP_FLAGS_HAS_RETRACT,uint32 = 1
GIMBAL_DEVICE_CAP_FLAGS_HAS_ROLL_FOLLOW,uint32 = 8
vendor_name,uint8[32] 
custom_name,uint8[32] 
GIMBAL_DEVICE_CAP_FLAGS_HAS_PITCH_LOCK,uint32 = 128
GIMBAL_DEVICE_CAP_FLAGS_HAS_PITCH_FOLLOW,uint32 = 64
GIMBAL_DEVICE_CAP_FLAGS_HAS_YAW_LOCK,uint32 = 1024
GIMBAL_DEVICE_CAP_FLAGS_HAS_ROLL_AXIS,uint32 = 4
NUM_ACTUATOR_OUTPUT_GROUPS,uint8 = 4 # for sanity checking
noutputs,uint32 # valid outputs
NUM_ACTUATOR_OUTPUTS,uint8 = 16
output,float32[16] # output data; in natural output units
storage_usage,uint32[4] # [MB] Amount of used storage space on the component system
cpu_combined,uint8[10] # Combined CPU usage as the last 10 slices of 100 MS
link_tx_max,uint32[6] # [Kb/s] Network capacity from the component system
temperature_core,int8[8] # [degC] Temperature of the CPU core
storage_type,uint32[4] # Storage type: 0: HDD; 1: SSD; 2: EMMC; 3: SD card (non-removable); 4: SD card (removable)
link_type,uint32[6] # [Kb/s] Link type: 0-9: UART; 10-19: Wired network; 20-29: Wifi; 30-39: Point-to-point proprietary; 40-49: Mesh proprietary
link_tx_rate,uint32[6] # [Kb/s] Network traffic from the component system
link_rx_rate,uint32[6] # [Kb/s] Network traffic to the component system
cpu_cores,uint8[8] # CPU usage on the component in percent
gpu_cores,uint8[4] # GPU usage on the component in percent
ram_total,uint32 # [MB] Total amount of RAM on the component system
storage_total,uint32[4] # [MB] Total amount of storage space on the component system
temperature_board,int8 # [degC] Temperature of the board
fan_speed,int16[4] # [rpm] Fan speeds
uptime,uint32 # [ms] time since system boot of the companion (milliseconds)
link_rx_max,uint32[6] # [Kb/s] Network capacity to the component system
gpu_combined,uint8[10] # Combined GPU usage as the last 10 slices of 100 MS
delta_velocity_dt,uint16 # integration period in microseconds
delta_velocity,float32[3] # delta velocity in the FRD body frame XYZ-axis in m/s over the integration time frame (delta_velocity_dt)
delta_angle_dt,uint16 # integration period in microseconds
delta_angle_clipping,uint8 # bitfield indicating if there was any gyro clipping (per axis) during the integration time frame
delta_velocity_clipping,uint8 # bitfield indicating if there was any accelerometer clipping (per axis) during the integration time frame
data_length,uint32 
event_sequence,uint16 # Event sequence number
log_levels,uint8 # Log levels: 4 bits MSB: internal; 4 bits LSB: external
arguments,uint8[25] # (optional) arguments; depend on event id
MAV_TRAJECTORY_REPRESENTATION_WAYPOINTS,uint8 = 0
waypoints,TrajectoryWaypoint[5] 
reversible_flags,uint16 # bitset which motors are configured to be reversible
ACTUATOR_FUNCTION_MOTOR1,uint8 = 101
v_xy_valid,bool # true if vx and vy are valid
delta_xy,float32[2] 
ref_alt,float32 # Reference altitude AMSL; (metres)
ax,float32 # North velocity derivative in NED earth-fixed frame; (metres/sec^2)
xy_global,bool # true if position (x; y) has a valid global reference (ref_lat; ref_lon)
z_global,bool # true if z has a valid global reference (ref_alt)
hagl_min,float32 # minimum height above ground level - set to 0 when limiting not required (meters)
delta_vz,float32 
vz_max,float32 # maximum vertical speed - set to 0 when limiting not required (meters/sec)
delta_heading,float32 
az,float32 # Down velocity derivative in NED earth-fixed frame; (metres/sec^2)
evv,float32 # Standard deviation of vertical velocity error; (metres/sec)
dist_bottom_valid,bool # true if distance to bottom surface is valid
z_valid,bool # true if z is valid
ref_lon,float64 # Reference point longitude; (degrees)
DIST_BOTTOM_SENSOR_NONE,uint8 = 0
v_z_valid,bool # true if vz is valid
hagl_max,float32 # maximum height above ground level - set to 0 when limiting not required (meters)
evh,float32 # Standard deviation of horizontal velocity error; (metres/sec)
vxy_reset_counter,uint8 
unaided_heading,float32 # Same as heading but generated by integrating corrected gyro data only
vz_reset_counter,uint8 
heading_good_for_control,bool 
delta_vxy,float32[2] 
vxy_max,float32 # maximum horizontal speed - set to 0 when limiting not required (meters/sec)
dist_bottom,float32 # Distance from from bottom surface to ground; (metres)
DIST_BOTTOM_SENSOR_FLOW,uint8 = 2 # (1 << 1) a flow sensor is used to estimate dist_bottom field (mostly fixed-wing use case)
xy_reset_counter,uint8 
z_deriv,float32 # Down position time derivative in NED earth-fixed frame; (metres/sec)
heading_reset_counter,uint8 
ref_lat,float64 # Reference point latitude; (degrees)
DIST_BOTTOM_SENSOR_RANGE,uint8 = 1 # (1 << 0) a range sensor is used to estimate dist_bottom field
xy_valid,bool # true if x and y are valid
dist_bottom_sensor_bitfield,uint8 # bitfield indicating what type of sensor is used to estimate dist_bottom
delta_z,float32 
ay,float32 # East velocity derivative in NED earth-fixed frame; (metres/sec^2)
z_reset_counter,uint8 
ref_timestamp,uint64 # Time when reference position was set since system start; (microseconds)
jerk,float32[3] # in meters/second^3 (for logging only)
throttle_position_percent,uint8 # Throttle position; percent
exhaust_gas_temperature,float32 # Exhaust gas temperature (EGT); kelvin
FLAG_CRANKSHAFT_SENSOR_ERROR,uint32 = 4
FLAG_OIL_PRESSURE_ABOVE_NOMINAL,uint32 = 131072 # Over-pressure warning
FLAG_CRANKSHAFT_SENSOR_ERROR_SUPPORTED,uint32 = 2 # Error of the crankshaft sensor. This flag is optional.
FLAG_TEMPERATURE_ABOVE_NOMINAL,uint32 = 32 # Over-temperature warning
fuel_consumption_rate_cm3pm,float32 # Instant fuel consumption estimate; (centimeter^3)/minute
STATE_STARTING,uint8 = 1 # The engine is starting. This is a transient state.
FLAG_FUEL_PRESSURE_ABOVE_NOMINAL,uint32 = 1024 # Over-pressure warning
coolant_temperature,float32 # Engine coolant temperature; kelvin
SPARK_PLUG_SINGLE,uint8 = 0
intake_manifold_temperature,float32 # Engine intake manifold temperature; kelvin
SPARK_PLUG_SECOND_ACTIVE,uint8 = 2
spark_plug_usage,uint8 # Spark plug activity report.
engine_speed_rpm,uint32 # Engine speed; revolutions per minute
FLAG_TEMPERATURE_SUPPORTED,uint32 = 8 # Temperature levels. These flags are optional
FLAG_OIL_PRESSURE_BELOW_NOMINAL,uint32 = 65536 # Under-pressure warning
ecu_index,uint8 # The index of the publishing ECU
FLAG_GENERAL_ERROR,uint32 = 1 # General error.
SPARK_PLUG_FIRST_ACTIVE,uint8 = 1
FLAG_MISFIRE_OBSERVED,uint32 = 16384 # Misfire condition observed warning
FLAG_DEBRIS_DETECTED,uint32 = 524288 # Detection of debris warning
ignition_timing_deg,float32 # Cylinder ignition timing; angular degrees of the crankshaft
STATE_RUNNING,uint8 = 2 # The engine is running normally.
FLAG_TEMPERATURE_EGT_ABOVE_NOMINAL,uint32 = 128 # Exhaust gas over-temperature warning
spark_dwell_time_ms,float32 # Spark dwell time; millisecond
lambda_coefficient,float32 # Estimated lambda coefficient; dimensionless ratio
FLAG_TEMPERATURE_BELOW_NOMINAL,uint32 = 16 # Under-temperature warning
oil_pressure,float32 # Oil pressure; kilopascal
intake_manifold_pressure_kpa,float32 # Engine intake manifold pressure; kilopascal
injection_time_ms,float32 # Fuel injection time; millisecond
cylinder_head_temperature,float32 # Cylinder head temperature (CHT); kelvin
FLAG_TEMPERATURE_OVERHEATING,uint32 = 64 # Critical overheating
SPARK_PLUG_BOTH_ACTIVE,uint8 = 3
STATE_STOPPED,uint8 = 0 # The engine is not running. This is the default state.
atmospheric_pressure_kpa,float32 # Atmospheric (barometric) pressure; kilopascal
fuel_pressure,float32 # Fuel pressure; kilopascal
FLAG_FUEL_PRESSURE_SUPPORTED,uint32 = 256 # Fuel pressure. These flags are optional
FLAG_DETONATION_SUPPORTED,uint32 = 2048 # Detonation warning. This flag is optional.
FLAG_DETONATION_OBSERVED,uint32 = 4096 # Detonation condition observed warning
FLAG_MISFIRE_SUPPORTED,uint32 = 8192 # Misfire warning. This flag is optional.
FLAG_FUEL_PRESSURE_BELOW_NOMINAL,uint32 = 512 # Under-pressure warning
oil_temperature,float32 # Oil temperature; kelvin
estimated_consumed_fuel_volume_cm3,float32 # Estimate of the consumed fuel since the start of the engine; centimeter^3
FLAG_OIL_PRESSURE_SUPPORTED,uint32 = 32768 # Oil pressure. These flags are optional
FLAG_DEBRIS_SUPPORTED,uint32 = 262144 # Debris warning. This flag is optional
engine_load_percent,uint8 # Engine load estimate; percent; [0; 127]
STATE_FAULT,uint8 = 3 # The engine can no longer function.
GF_ACTION_RTL,uint8 = 3 # switch to AUTO|RTL
geofence_violation_reason,uint8 # one of geofence_violation_reason_t::*
GF_ACTION_NONE,uint8 = 0 # no action on geofence violation
GF_ACTION_WARN,uint8 = 1 # critical mavlink message
GF_ACTION_LAND,uint8 = 5 # switch to AUTO|LAND
GF_ACTION_LOITER,uint8 = 2 # switch to AUTO|LOITER
home_required,bool # true if the geofence requires a valid home position
primary_geofence_action,uint8 # action to take when the primary geofence is breached
GF_ACTION_TERMINATE,uint8 = 4 # flight termination
normalized_wheel_setpoint,float32 # negative is turning left; positive turning right [-1; 1]
PWR_BUTTON_STATE_IDEL,uint8 = 0 # Button went up without meeting shutdown button down time (delete event)
event,uint8 # one of PWR_BUTTON_STATE_*
PWR_BUTTON_STATE_DOWN,uint8 = 1 # Button went Down
PWR_BUTTON_STATE_REQUEST_SHUTDOWN,uint8 = 3 # Button went Up after meeting shutdown button down time
PWR_BUTTON_STATE_UP,uint8 = 2 # Button went Up
